game_num,season_type,opponent,home_away,win,team_pts,opp_pts,point_diff,wins,losses,ortg,drtg,pace,ts_pct,off_efg_pct,off_tov_pct,off_orb_pct,def_efg_pct,def_tov_pct,ftr,3par,team_ast_pct,team_trb_pct,jokic_pts,jokic_ast,jokic_trb,jokic_tov,jokic_plus_minus,jokic_efg_pct,jokic_fg_pct,jokic_3p_pct,jokic_ft_pct,jokic_fga,jokic_fg,jokic_mp,jokic_gmsc,jokic_stl,jokic_blk,jokic_pf,jokic_3p,jokic_3pa,triple_double
77,Regular,Phoenix Suns,Away,0,93,100,-7,51,26,95.6,102.7,97.3,0.448,0.432,9.6,28.3,0.477,14.1,0.211,0.274,50.0,50.0,36.0,10.0,17.0,5.0,12.0,646.0,0.583,0.375,833.0,24.0,14.0,40.1,31.1,0.0,0.0,2.0,3.0,8.0,1
78,Regular,Golden State Warriors,Home,1,112,110,2,52,26,112.6,110.6,99.4,0.519,0.485,10.8,32.7,0.443,11.8,0.18,0.33,54.5,45.2,19.0,11.0,14.0,4.0,19.0,0.538,0.462,667.0,833.0,13.0,6.0,30.67,218.0,2.0,0.0,1.0,2.0,3.0,1
79,Regular,Houston Rockets,Away,0,103,124,-21,52,27,101.1,121.8,101.8,0.543,0.534,17.4,27.1,0.52,10.4,0.207,0.414,63.4,46.1,28.0,7.0,13.0,5.0,23.0,0.65,0.6,1.0,1.0,20.0,12.0,34.07,275.0,3.0,1.0,2.0,2.0,2.0,0
80,Regular,Phoenix Suns,Away,0,115,119,-4,52,28,123.9,128.3,92.8,0.617,0.578,12.3,25.7,0.627,10.0,0.277,0.277,54.5,53.5,41.0,7.0,11.0,2.0,6.0,0.85,0.8,1.0,0.583,20.0,16.0,38.42,394.0,3.0,0.0,5.0,2.0,2.0,0
81,Regular,Utah Jazz,Away,0,114,118,-4,52,29,106.5,110.3,107.0,0.567,0.539,12.2,10.6,0.495,12.7,0.267,0.511,78.0,41.0,22.0,12.0,7.0,3.0,-1.0,0.731,0.692,0.5,1.0,13.0,9.0,38.55,25.5,2.0,1.0,5.0,1.0,2.0,0
82,Regular,Sacramento Kings,Home,1,109,95,14,53,29,113.8,99.2,95.8,0.574,0.542,17.4,38.5,0.5,14.1,0.298,0.333,59.5,60.0,15.0,5.0,15.0,4.0,19.0,0.636,0.636,0.333,0.5,11.0,7.0,30.78,18.9,4.0,0.0,1.0,0.0,0.0,0
1,Playoffs,Minnesota Timberwolves,Home,1,109,80,29,1,0,1157.0,849.0,942.0,0.559,0.544,10.1,250.0,0.438,12.0,0.189,0.433,585.0,587.0,32.0,7.0,12.0,0.0,14.0,674.0,0.652,0.333,0.5,23.0,15.0,39.38,320.0,2.0,0.0,3.0,1.0,3.0,0
2,Playoffs,Minnesota Timberwolves,Home,1,122,113,9,2,0,1319.0,122.1,925.0,635.0,0.6,94.0,257.0,0.595,12.7,0.294,0.259,565.0,507.0,27.0,10.0,20.0,3.0,1.0,625.0,0.563,0.5,1.0,16.0,9.0,41.4,322.0,2.0,0.0,2.0,2.0,4.0,1
3,Playoffs,Minnesota Timberwolves,Away,1,120,111,9,3,0,1217.0,1125.0,986.0,669.0,649.0,14.3,16.1,0.519,12.1,0.155,0.381,667.0,556.0,24.0,9.0,15.0,3.0,4.0,0.692,0.692,0.0,857.0,13.0,9.0,38.98,273.0,1.0,0.0,4.0,0.0,1.0,0
4,Playoffs,Minnesota Timberwolves,Away,0,108,114,-6,3,1,1075.0,1135.0,910.0,0.525,0.505,10.4,21.3,0.522,105.0,0.189,0.368,500.0,480.0,33.0,14.0,14.0,3.0,-7.0,0.55,0.5,0.4,1.0,20.0,10.0,41.1,36.1,1.0,1.0,4.0,2.0,5.0,1
5,Playoffs,Minnesota Timberwolves,Home,1,112,109,3,4,1,1182.0,115.1,947.0,0.555,0.471,10.6,333.0,0.556,13.2,0.424,0.4,647.0,540.0,25.0,9.0,20.0,7.0,7.0,0.595,0.571,0.2,1.0,21.0,12.0,41.03,208.0,0.0,0.0,1.0,1.0,5.0,0
6,Playoffs,Phoenix Suns,Home,1,125,107,18,5,1,1279.0,1095.0,978.0,0.581,0.554,85.0,348.0,0.554,149.0,0.149,0.366,458.0,563.0,32.0,9.0,8.0,7.0,-12.0,0.48,0.44,0.222,1.0,25.0,11.0,40.93,224.0,3.0,0.0,4.0,2.0,9.0,0
7,Playoffs,Phoenix Suns,Home,1,97,87,10,6,1,1056.0,948.0,918.0,0.569,0.52,13.2,15.2,0.432,9.3,0.276,0.355,528.0,513.0,16.0,8.0,16.0,4.0,-16.0,0.385,0.385,0.0,1.0,13.0,5.0,38.6,176.0,0.0,1.0,2.0,0.0,1.0,0
8,Playoffs,Phoenix Suns,Away,0,114,121,-7,6,2,1125.0,1194.0,1014.0,0.537,0.495,10.9,320.0,0.553,8.0,0.216,0.309,628.0,554.0,24.0,9.0,14.0,3.0,30.0,0.583,0.556,0.333,0.75,18.0,10.0,38.08,28.0,3.0,3.0,3.0,1.0,3.0,0
