game_num,opponent,home_away,team_pts,opp_pts,wins,losses,win,point_diff,season_type,ORtg,DRtg,Pace,TS_pct,off_eFG_pct,off_TOV_pct,off_ORB_pct,def_eFG_pct,def_TOV_pct,FTr,3PAr,team_AST_pct,team_TRB_pct,jokic_pts,jokic_ast,jokic_trb,jokic_tov,jokic_plus_minus,jokic_eFG_pct,jokic_FG_pct,jokic_3P_pct,jokic_FT_pct,jokic_FGA,jokic_FG,jokic_mp,jokic_GmSc,jokic_stl,jokic_blk,jokic_pf,jokic_3p,jokic_3pa,triple_double
3,Minnesota Timberwolves,Away,120,111,3,0,1,9,Playoffs,1217.0,1125.0,986.0,669.0,649.0,14.3,16.1,0.519,12.1,0.155,0.381,667.0,556.0,24.0,9.0,15.0,3.0,4.0,0.692,0.692,0.0,857.0,13.0,9.0,38:59,273.0,1.0,0.0,4.0,0.0,1.0,0.0
4,Minnesota Timberwolves,Away,108,114,3,1,0,-6,Playoffs,1075.0,1135.0,910.0,0.525,0.505,10.4,21.3,0.522,105.0,0.189,0.368,500.0,480.0,33.0,14.0,14.0,3.0,-7.0,0.55,0.5,0.4,1.0,20.0,10.0,41:06,36.1,1.0,1.0,4.0,2.0,5.0,1.0
5,Minnesota Timberwolves,Home,112,109,4,1,1,3,Playoffs,1182.0,115.1,947.0,0.555,0.471,10.6,333.0,0.556,13.2,0.424,0.4,647.0,540.0,25.0,9.0,20.0,7.0,7.0,0.595,0.571,0.2,,21.0,12.0,41:02,208.0,0.0,0.0,1.0,1.0,5.0,0.0
6,Phoenix Suns,Home,125,107,5,1,1,18,Playoffs,1279.0,1095.0,978.0,0.581,0.554,85.0,348.0,0.554,149.0,0.149,0.366,458.0,563.0,32.0,9.0,8.0,7.0,-12.0,0.48,0.44,0.222,1.0,25.0,11.0,40:56,224.0,3.0,0.0,4.0,2.0,9.0,0.0
7,Phoenix Suns,Home,97,87,6,1,1,10,Playoffs,1056.0,948.0,918.0,0.569,0.52,13.2,15.2,0.432,9.3,0.276,0.355,528.0,513.0,16.0,8.0,16.0,4.0,-16.0,0.385,0.385,0.0,1.0,13.0,5.0,38:36,176.0,0.0,1.0,2.0,0.0,1.0,0.0
8,Phoenix Suns,Away,114,121,6,2,0,-7,Playoffs,1125.0,1194.0,1014.0,0.537,0.495,10.9,320.0,0.553,8.0,0.216,0.309,628.0,554.0,24.0,9.0,14.0,3.0,30.0,0.583,0.556,0.333,0.75,18.0,10.0,38:05,28.0,3.0,3.0,3.0,1.0,3.0,0.0
9,Phoenix Suns,Away,124,129,6,3,0,-5,Playoffs,1322.0,1375.0,938.0,626.0,0.601,8.3,286.0,0.648,12.2,0.258,0.247,560.0,464.0,35.0,7.0,7.0,4.0,3.0,0.596,0.577,0.2,667.0,26.0,15.0,39:04,279.0,3.0,1.0,4.0,1.0,5.0,0.0
10,Phoenix Suns,Home,118,102,7,3,1,16,Playoffs,1214.0,1049.0,972.0,0.606,0.571,9.3,227.0,0.483,9.2,0.329,0.318,762.0,543.0,40.0,13.0,7.0,0.0,21.0,0.727,0.682,667.0,889.0,22.0,15.0,41:06,433.0,2.0,1.0,2.0,2.0,3.0,0.0
11,Phoenix Suns,Away,125,100,8,3,1,25,Playoffs,1278.0,1023.0,978.0,0.653,0.585,10.3,206.0,0.551,13.8,0.378,0.268,545.0,586.0,22.0,2.0,9.0,3.0,-25.0,0.474,0.474,0.0,1.0,19.0,9.0,35:45,15.0,0.0,0.0,1.0,0.0,4.0,0.0
12,Los Angeles Lakers,Home,132,126,9,3,1,6,Playoffs,1388.0,1325.0,951.0,656.0,0.632,98.0,375.0,0.613,68.0,0.242,0.352,580.0,610.0,34.0,7.0,19.0,3.0,-9.0,0.5,0.464,0.2,857.0,28.0,13.0,46:36,29.1,0.0,1.0,2.0,2.0,10.0,0.0
13,Los Angeles Lakers,Home,108,103,10,3,1,5,Playoffs,1078.0,1028.0,1002.0,0.557,0.517,149.0,234.0,0.488,11.4,0.202,0.427,692.0,55.1,,,,,,,,,,,,,,,,,,,
14,Los Angeles Lakers,Away,119,108,11,3,1,11,Playoffs,1245.0,1130.0,956.0,0.617,0.597,5.9,128.0,0.512,11.0,0.216,0.466,682.0,464.0,,,,,,,,,,,,,,,,,,,
15,Los Angeles Lakers,Away,113,111,12,3,1,2,Playoffs,1229.0,1207.0,920.0,0.597,0.553,10.4,268.0,0.512,58.0,0.259,0.388,610.0,513.0,,,,,,,,,,,,,,,,,,,
16,Miami Heat,Home,104,93,13,3,1,11,Playoffs,1144.0,1023.0,909.0,0.592,0.557,10.2,158.0,0.474,7.6,0.253,0.342,725.0,51.1,,,,,,,,,,,,,,,,,,,
17,Miami Heat,Home,108,111,13,4,0,-3,Playoffs,1236.0,1271.0,874.0,0.638,0.593,14.2,28.1,0.596,11.2,0.293,0.373,590.0,55.1,,,,,,,,,,,,,,,,,,,
18,Miami Heat,Away,109,94,14,4,1,15,Playoffs,1197.0,1033.0,910.0,0.593,0.544,13.2,36.1,0.429,38.0,0.338,0.225,683.0,637.0,,,,,,,,,,,,,,,,,,,
19,Miami Heat,Away,108,95,15,4,1,13,Playoffs,1199.0,1055.0,901.0,0.612,0.582,8.3,147.0,0.5,147.0,0.266,0.354,667.0,479.0,,,,,,,,,,,,,,,,,,,
20,Miami Heat,Home,94,89,16,4,1,5,Playoffs,973.0,921.0,966.0,0.499,0.482,13.7,250.0,0.391,7.2,0.274,0.333,553.0,564.0,,,,,,,,,,,,,,,,,,,


